,Acción,Evento,Tiempo,Inicio,Fin,Jugadores,Evento ,Resultado,Acercar,Alejar,Situacion,Duración,Jornada,Local,Visitante,Tipo_de_Accion
49,MT Ofensivo,MT OFENSIVO 010,1363,1353,1379,9,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
50,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,1,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
51,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,4,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
52,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,6,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
53,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,8,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
54,MT Ofensivo,MT OFENSIVO 011,1398,1388,1406,9,Diagonal,Negativo,,,,,16,Ferro,Boca Jrs,
55,MT Ofensivo,MT OFENSIVO 012,1430,1420,1438,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
56,MT Ofensivo,MT OFENSIVO 012,1430,1420,1438,4,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
57,MT Ofensivo,MT OFENSIVO 012,1430,1420,1438,6,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
58,MT Ofensivo,MT OFENSIVO 012,1430,1420,1438,8,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
59,MT Ofensivo,MT OFENSIVO 012,1430,1420,1438,9,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
60,MT Ofensivo,MT OFENSIVO 013,1576,1566,1586,1,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
61,MT Ofensivo,MT OFENSIVO 013,1576,1566,1586,5,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
62,MT Ofensivo,MT OFENSIVO 013,1576,1566,1586,7,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
63,MT Ofensivo,MT OFENSIVO 013,1576,1566,1586,10,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
64,MT Ofensivo,MT OFENSIVO 013,1576,1566,1586,16,Diagonal,Positivo,,,,,16,Ferro,Boca Jrs,
65,MT Ofensivo,MT OFENSIVO 014,1597,1587,1605,1,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
66,MT Ofensivo,MT OFENSIVO 014,1597,1587,1605,5,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
67,MT Ofensivo,MT OFENSIVO 014,1597,1587,1605,7,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
68,MT Ofensivo,MT OFENSIVO 014,1597,1587,1605,10,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
69,MT Ofensivo,MT OFENSIVO 014,1597,1587,1605,16,Corte,Negativo,,,,,16,Ferro,Boca Jrs,
70,MT Ofensivo,MT OFENSIVO 015,1721,1711,1727,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
71,MT Ofensivo,MT OFENSIVO 015,1721,1711,1727,5,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
72,MT Ofensivo,MT OFENSIVO 015,1721,1711,1727,7,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
73,MT Ofensivo,MT OFENSIVO 015,1721,1711,1727,10,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
74,MT Ofensivo,MT OFENSIVO 015,1721,1711,1727,16,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
75,MT Ofensivo,MT OFENSIVO 016,1836,1826,1849,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
76,MT Ofensivo,MT OFENSIVO 016,1836,1826,1849,5,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
77,MT Ofensivo,MT OFENSIVO 016,1836,1826,1849,8,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
78,MT Ofensivo,MT OFENSIVO 016,1836,1826,1849,9,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
79,MT Ofensivo,MT OFENSIVO 016,1836,1826,1849,14,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
80,MT Ofensivo,MT OFENSIVO 017,1945,1935,1954,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
81,MT Ofensivo,MT OFENSIVO 017,1945,1935,1954,8,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
82,MT Ofensivo,MT OFENSIVO 017,1945,1935,1954,9,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
83,MT Ofensivo,MT OFENSIVO 017,1945,1935,1954,14,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
84,MT Ofensivo,MT OFENSIVO 017,1945,1935,1954,15,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
85,MT Ofensivo,MT OFENSIVO 018,2013,2003,2021,1,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
86,MT Ofensivo,MT OFENSIVO 018,2013,2003,2021,8,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
87,MT Ofensivo,MT OFENSIVO 018,2013,2003,2021,9,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
88,MT Ofensivo,MT OFENSIVO 018,2013,2003,2021,14,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
89,MT Ofensivo,MT OFENSIVO 018,2013,2003,2021,15,Salto Linea,Negativo,,,,,16,Ferro,Boca Jrs,
90,MT Ofensivo,MT OFENSIVO 019,2228,2218,2233,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
91,MT Ofensivo,MT OFENSIVO 019,2228,2218,2233,5,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
92,MT Ofensivo,MT OFENSIVO 019,2228,2218,2233,7,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
93,MT Ofensivo,MT OFENSIVO 019,2228,2218,2233,10,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
94,MT Ofensivo,MT OFENSIVO 019,2228,2218,2233,15,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
95,MT Ofensivo,MT OFENSIVO 020,2373,2363,2384,1,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
96,MT Ofensivo,MT OFENSIVO 020,2373,2363,2384,5,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
97,MT Ofensivo,MT OFENSIVO 020,2373,2363,2384,7,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
98,MT Ofensivo,MT OFENSIVO 020,2373,2363,2384,10,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
99,MT Ofensivo,MT OFENSIVO 020,2373,2363,2384,14,Paralela,Positivo,,,,,16,Ferro,Boca Jrs,
100,MT Ofensivo,MT OFENSIVO 021,2433,2423,2441,1,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
101,MT Ofensivo,MT OFENSIVO 021,2433,2423,2441,5,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
102,MT Ofensivo,MT OFENSIVO 021,2433,2423,2441,7,Pivot,Positivo,,,,,16,Ferro,Boca Jrs,
