,Evento,Inicio,Fin,Parte,Duracion,Jornada,Local,Visitante
2360,PARTIDO EN JUEGO 099,3145.0,3169.0,2,24.0,5,Pinocho,Ferro
2361,PARTIDO EN JUEGO 100,3178.0,3198.0,2,20.0,5,Pinocho,Ferro
2362,PARTIDO EN JUEGO 101,3212.0,3225.0,2,13.0,5,Pinocho,Ferro
2363,PARTIDO EN JUEGO 102,3236.0,3251.0,2,15.0,5,Pinocho,Ferro
2364,PARTIDO EN JUEGO 103,3263.0,3282.0,2,19.0,5,Pinocho,Ferro
2365,PARTIDO EN JUEGO 104,3322.0,3327.0,2,5.0,5,Pinocho,Ferro
2366,PARTIDO EN JUEGO 105,3348.0,3360.0,2,12.0,5,Pinocho,Ferro
2367,PARTIDO EN JUEGO 106,3363.0,3369.0,2,6.0,5,Pinocho,Ferro
2368,PARTIDO EN JUEGO 107,3378.0,3383.0,2,5.0,5,Pinocho,Ferro
2369,PARTIDO EN JUEGO 108,3389.0,3407.0,2,18.0,5,Pinocho,Ferro
2370,PARTIDO EN JUEGO 109,3432.0,3465.0,2,33.0,5,Pinocho,Ferro
2371,PARTIDO EN JUEGO 110,3476.0,3545.0,2,69.0,5,Pinocho,Ferro
2372,PARTIDO EN JUEGO 111,3553.0,3560.0,2,7.0,5,Pinocho,Ferro
2373,PARTIDO EN JUEGO 112,3626.0,3675.0,2,49.0,5,Pinocho,Ferro
2374,PARTIDO EN JUEGO 113,3707.0,3719.0,2,12.0,5,Pinocho,Ferro
2375,PARTIDO EN JUEGO 114,3733.0,3753.0,2,20.0,5,Pinocho,Ferro
2376,PARTIDO EN JUEGO 115,3756.0,3780.0,2,24.0,5,Pinocho,Ferro
2377,PARTIDO EN JUEGO 116,3805.0,3837.0,2,32.0,5,Pinocho,Ferro
2378,PARTIDO EN JUEGO 117,3855.0,3885.0,2,30.0,5,Pinocho,Ferro
2379,PARTIDO EN JUEGO 118,3890.0,3906.0,2,16.0,5,Pinocho,Ferro
2380,PARTIDO EN JUEGO 119,3908.0,3924.0,2,16.0,5,Pinocho,Ferro
2381,PARTIDO EN JUEGO 120,3930.0,3931.0,2,1.0,5,Pinocho,Ferro
2382,PARTIDO EN JUEGO 121,3945.0,3958.0,2,13.0,5,Pinocho,Ferro
2383,PARTIDO EN JUEGO 122,3971.0,3979.0,2,8.0,5,Pinocho,Ferro
2384,PARTIDO EN JUEGO 123,3983.0,3997.0,2,14.0,5,Pinocho,Ferro
2385,PARTIDO EN JUEGO 124,3999.0,4015.0,2,16.0,5,Pinocho,Ferro
2386,PARTIDO EN JUEGO 125,4018.0,4031.0,2,13.0,5,Pinocho,Ferro
2387,PARTIDO EN JUEGO 126,4050.0,4075.0,2,25.0,5,Pinocho,Ferro
2388,PARTIDO EN JUEGO 127,4095.0,4110.0,2,15.0,5,Pinocho,Ferro
2389,PARTIDO EN JUEGO 128,4120.0,4136.0,2,16.0,5,Pinocho,Ferro
2390,PARTIDO EN JUEGO 129,4164.0,4184.0,2,20.0,5,Pinocho,Ferro
2391,PARTIDO EN JUEGO 130,4203.0,4210.0,2,7.0,5,Pinocho,Ferro
2392,PARTIDO EN JUEGO 131,4239.0,4244.0,2,5.0,5,Pinocho,Ferro
2393,PARTIDO EN JUEGO 132,4299.0,4343.0,2,44.0,5,Pinocho,Ferro
2394,PARTIDO EN JUEGO 133,4368.0,4372.0,2,4.0,5,Pinocho,Ferro
2395,PARTIDO EN JUEGO 134,4475.0,4509.0,2,34.0,5,Pinocho,Ferro
2396,PARTIDO EN JUEGO 136,4562.0,4582.0,2,20.0,5,Pinocho,Ferro
2397,PARTIDO EN JUEGO 136,4584.0,4631.0,2,47.0,5,Pinocho,Ferro
2398,PARTIDO EN JUEGO 137,4665.0,4687.0,2,22.0,5,Pinocho,Ferro
2399,PARTIDO EN JUEGO 138,4700.0,4746.0,2,46.0,5,Pinocho,Ferro
2400,PARTIDO EN JUEGO 139,4762.0,4778.0,2,16.0,5,Pinocho,Ferro
2401,PARTIDO EN JUEGO 140,4783.0,4798.0,2,15.0,5,Pinocho,Ferro
2402,PARTIDO EN JUEGO 141,4804.0,4826.0,2,22.0,5,Pinocho,Ferro
2403,PARTIDO EN JUEGO 142,4832.0,4838.0,2,6.0,5,Pinocho,Ferro
2404,PARTIDO EN JUEGO 143,4843.0,4860.0,2,17.0,5,Pinocho,Ferro
2405,PARTIDO EN JUEGO 144,4861.0,4865.0,2,4.0,5,Pinocho,Ferro
2406,PARTIDO EN JUEGO 145,4956.0,4961.0,2,5.0,5,Pinocho,Ferro
2407,PARTIDO EN JUEGO 146,4967.0,5014.0,2,47.0,5,Pinocho,Ferro
2408,PARTIDO EN JUEGO 147,5028.0,5044.0,2,16.0,5,Pinocho,Ferro
2409,PARTIDO EN JUEGO 148,5067.0,5073.0,2,6.0,5,Pinocho,Ferro
2410,PARTIDO EN JUEGO 149,5093.0,5115.0,2,22.0,5,Pinocho,Ferro
2411,t,5131.0,5138.0,2,7.0,5,Pinocho,Ferro
2412,PARTIDO EN JUEGO 151,5137.0,5140.0,2,3.0,5,Pinocho,Ferro
2413,PARTIDO EN JUEGO 152,5141.0,5177.0,2,36.0,5,Pinocho,Ferro
2414,PARTIDO EN JUEGO 153,5189.0,5193.0,2,4.0,5,Pinocho,Ferro
2415,PARTIDO EN JUEGO 154,5206.0,5222.0,2,16.0,5,Pinocho,Ferro
2416,PARTIDO EN JUEGO 155,5239.0,5252.0,2,13.0,5,Pinocho,Ferro
2417,PARTIDO EN JUEGO 156,5263.0,5267.0,2,4.0,5,Pinocho,Ferro
2418,PARTIDO EN JUEGO 157,5268.0,5275.0,2,7.0,5,Pinocho,Ferro
2419,PARTIDO EN JUEGO 158,5291.0,5297.0,2,6.0,5,Pinocho,Ferro
2420,PARTIDO EN JUEGO 159,5301.0,5311.0,2,10.0,5,Pinocho,Ferro
